id,title,motion,manual motion,govt/opp motion,motion party affiliation,utt1,utt2,utt3,utt4,utt5,manual speech,vote speech,party affiliation,name,rebellion %
4,Orders of the Day – Police,"That the Police Grant Report (England and Wales) 1999–2000 (HC 179), which was laid before this House on 1st February, be approved.",1,1,Lab,"Does my right hon. Friend agree that the issue is not just numbers, but the abandonment of areas? In my constituency in Essex, we face the closure of a police station in Ingatestone, and the removal of policing from rural areas right across the constituency. As a police officer remarked to me, we will simply move crime around the rural areas.",,"incomprehensible to most of the industry. How on earth the Government can believe that someone passing through a supermarket will understand them, I simply cannot imagine. As has been said, virtually all supermarkets have made it clear that they will not offer ISAs, although the Government's key message was that supermarkets would sell ISAs.",,,0,0,Con,Eric Pickles,0.1
4,Orders of the Day – Police,"That the Police Grant Report (England and Wales) 1999–2000 (HC 179), which was laid before this House on 1st February, be approved.",1,1,Lab,"The Minister will be aware that the Gloucestershire police had one of the lowest settlements–an increase of only 1.4 per cent. Recently, the chief constable wrote to me saying that, in real terms, that represents a cut of 4 per cent. in its budget and that making that up fully would involve an increase in the council tax precept for the police of a staggering 27 per cent. I have written to the Minister–",,,,,0,0,Con,Geoffrey Clifton-Brown,0.2
5,Local Government Finance,"That the Local Government Finance Report (England) 1999–2000 (HC 143), which was laid before this House on 1st February, be approved.",1,1,Lab,"I welcome what my right hon. Friend has done, but is he aware of representations by Oldham metropolitan borough, which feels that the changes made do not deal with all the anomalies in the area cost adjustment? The major problem is that SSAs, which were well worked out in the past, will be fixed for three years, creating anomalies during that period. I know that my right hon. Friend is investigating how he can improve matters, but is there no chance of making changes during that three-year period?",,,,,1,1,Lab,Robert Sheldon,1.5
5,Local Government Finance,"That the Local Government Finance Report (England) 1999–2000 (HC 143), which was laid before this House on 1st February, be approved.",1,1,Lab,"Is the right hon. Gentleman aware of the public claim of Ruth Coleman, the Liberal Democrat leader of North Wilshire district council, that she received a personal letter from him saying that the comparatively generous settlement for North Wiltshire was a direct result of her bringing in new council policies? Did he write to her saying that he was benefiting North Wiltshire because the Liberal Democrats control it?",,,"While the police listen to what is said, there is seldom any sort of positive response which we would like…It seems that all we can look forward to is a continually diminishing police force even less able to enforce all the laws and discharge matters which they, and no one else, currently have responsibility for.",,0,0,Con,James Gray,0.5
5,Local Government Finance,"That the Local Government Finance Report (England) 1999–2000 (HC 143), which was laid before this House on 1st February, be approved.",1,1,Lab,"I am grateful to the Secretary of State for giving way and I am very impressed by his remarks about fairness. I am sure that he believes absolutely in democracy. In that case, why does he not simply remove the cap and allow local people to decide the level of taxes in their area?",,,,,0,0,LD,Jenny Tonge,1.0
5,Local Government Finance,"That the Local Government Finance Report (England) 1999–2000 (HC 143), which was laid before this House on 1st February, be approved.",1,1,Lab,"On the point about local communities supporting council tax levels that are higher than the Government recommend, is my right hon. Friend aware that my authority is conducting a referendum on that issue? If the people vote for higher local council tax, will the Government recognise the validity of that result?",,,,,1,1,Lab,Brian White,0.2
5,Local Government Finance,"That the Local Government Finance Report (England) 1999–2000 (HC 143), which was laid before this House on 1st February, be approved.",1,1,Lab,"Barnsley council has this year received its highest settlement for a long time–the fifth highest settlement of any local authority this year. However, even with that 7.2 per cent. increase and assuming a 10 per cent. increase in the council tax, the authority this week faced £10.2 million worth of cuts. Those cuts come not as a consequence of the Labour Government's settlement, but as a consequence of the previous Government's refusing, for nine years, to alter the SSA methodology. The right hon. Member for Skipton and Ripon–",,,,,1,1,Lab,Eric Illsley,1.2
5,Local Government Finance,"That the Local Government Finance Report (England) 1999–2000 (HC 143), which was laid before this House on 1st February, be approved.",1,1,Lab,"Having insulted everybody north of Watford by using the expression ""QUOTATION"", will the right hon. Lady tell us whether she includes the people of Birmingham in that category? Does the fact that she has insulted all the people who voted for Labour councils mean that she has given up any hope of making gains for her party in May's elections?",,,,,1,1,Lab,David Lock,0.6
5,Local Government Finance,"That the Local Government Finance Report (England) 1999–2000 (HC 143), which was laid before this House on 1st February, be approved.",1,1,Lab,Does my right hon. Friend agree that local authority leaders of all parties will be most concerned about the Deputy Prime Minister's refusal to see any delegation next year? Is not that a negation of democracy and an indication that he wants to entrench for ever the favouring of Labour councils outside shire counties? Is not that a complete refusal to do his job?,,,,,0,0,Con,Nick Hawkins,0.1
5,Local Government Finance,"That the Local Government Finance Report (England) 1999–2000 (HC 143), which was laid before this House on 1st February, be approved.",1,1,Lab,"Surely, given the fact that the head count is 18 months out of date, if a local authority has falling pupil rolls, it is quids in. It is when it has rising pupil numbers that it has the problem because there is a delay in the money reaching the schools.","The review is important. If we analyse the areas which have done well and those which have done badly, some common themes will emerge. It is clear that the areas that have done badly this year tend to have large numbers of elderly people in care and rising pupil numbers and, demographically, those areas tend to be in the south and south-west. Those two factors must be looked at.",,,,0,0,LD,Adrian Sanders,1.3
5,Local Government Finance,"That the Local Government Finance Report (England) 1999–2000 (HC 143), which was laid before this House on 1st February, be approved.",1,1,Lab,"Is the hon. Gentleman aware that, including the increase in SSA for social services of 11.3 per cent., this settlement means that Liverpool city council could freeze council tax very shortly if it wished to do so? Does he intend to advise the Liberal Democrats currently running Liverpool to congratulate the Labour Government on this settlement and the opportunity that it affords them?",,,,,1,1,Lab,Louise Ellman,0.3
5,Local Government Finance,"That the Local Government Finance Report (England) 1999–2000 (HC 143), which was laid before this House on 1st February, be approved.",1,1,Lab,"It is with some reluctance that I join this debate, which is essentially a debate with good friends. I would rather be applauding, but it is important to bring to the House's attention the serious situation in Lancashire county council and to welcome the opportunity for review that lies ahead. I confess an interest in that I worked for Lancashire county council for 15 years. I am pleased that my hon. Friend the extremely honourable Member for Liverpool, Riverside is in her place. For some 16 years, she led Lancashire county council magnificently during–and this context is important–the most terrible times for local government. Local government was under sustained assault and public services were under threat. Lancashire county council held up a shield and strove to preserve decent standards, using balances and all sorts of devices, wit and ingenuity to support places of education and inspiration. It regenerated rundown industrial sites and paid for bus services to rural villages where no private company would go. It sheltered vulnerable people from the contemptible policies of the Conservative party.","Lancashire county council paid dearly for its actions. It was hammered with regular above-average reductions in grant-related expenditure assessments and SSAs, and then suffered an act of calculated malice. The worst of all possible reorganisations removed Blackpool and Blackburn, and left behind 11 districts and an incoherent structure that lacked any real identity. The reorganisation left the remnants of a shire county that was far removed from the typical profile, with large areas of real urban deprivation, as well as extensive rural areas with problems of neglect and sparsity. The county was forged in the industrial revolution and has an aging communications network, and bridges and moss roads that require fundamental reconstruction.","Lancashire has had long-standing financial problems in the past 10 years. It saw increases in SSA and grant-related expenditure assessment of 53 per cent., compared with 61 per cent. for the average county and 72 per cent. for England as a whole. Despite having a social profile more akin to that of metropolitan boroughs, the shire county had an SSA of £764 per head of population rather than the £862 of metropolitan districts. That is a long-winded way of saying that, despite last year's above average increase, the increase of £25 million in this year's education SSA and this year's increase of 4.5 per cent. against the shire county average of 5.2 per cent., we do not have enough funds to do what we desperately want to do. It is not enough to make up for the loss of grant and the previous use of balances, which are now completely depleted. The county, which was hammered during years of Tory Government, is in a desperate financial situation. I would like the review to address the ways in which the calculation of SSAs seriously disadvantages Lancashire. For example, we would like to see education SSAs calculated and weighted according to pupil and school numbers. The educational needs index should take more account of low attainment and reduced variation between pupils. We would like to see interest receipts SSAs based on actual past interest receipts, rather than on the size of SSAs, because balances are so low.","I agree with many hon. Members: we would like to see a fairer resolution of area cost adjustments. I think that there is a real danger that the current methodology overstates the actual burden facing authorities in areas with higher labour costs. Without some changes, we will have a council tax of some £730 at band D—which is 37 per cent. higher than council tax for standard spending—and a council tax increase of 8.5 per cent., which means that we could lose £1 million in council tax benefit subsidy. I ask the Government to re-examine that issue. We have seen cuts in the number of fire engines, and in resources and support for statemented pupils. There have been cuts in highway maintenance—road gritting was reduced this winter. We face possible cuts in the youth service and a consultation document contemplates breaking the long-standing principle that even the smallest rural schools should have at least two teachers. I deplore such proposals, as I deplored the cuts this financial year in the number of homes for older people.","That does not provide best value for local people, as taxpayers or customers, and it is not the quality of service provision that we should achieve under a Labour Government and a Labour county council. At a time when education in this country is being afforded the most wonderful opportunities in decades, I deplore the fact that a letter is circulating in Lancashire schools offering only the prospect of no change. Thanks to years of Conservative depredation, people working in the public services are desperate for change. I ask the Government to do more for Lancashire. I also want Lancashire to do more for itself. There is an urgent need to modernise, to reduce bureaucracy, to decentralise decision making and trust some of the excellent people working at the coal face in public services, to listen to people and to respond to the real needs of the community. Lancashire needs the scrutiny that a great reform that the Labour Government present would be seized far more readily if the people of Lancashire had a little more help now.",0,1,Lab,Hilton Dawson,1.8
5,Local Government Finance,"That the Local Government Finance Report (England) 1999–2000 (HC 143), which was laid before this House on 1st February, be approved.",1,1,Lab,"I thank the hon. Gentleman for giving way. I am not sure whether it is premature to welcome him to the Front Bench, but I do so in any case. The right hon. Member for South-West Norfolk welcomed the 7.2 per cent. increase for education. Will the hon. Gentleman now take the opportunity to welcome the 5.5 per cent. overall increase in spending on local government in the coming year?",,,,,1,1,Lab,Andy Love,0.3
6,Orders of the Day – Local Government Finance (Scotland),"That the Local Government Finance (Scotland) Order 1999, dated 28th January, a copy of which was laid before this House on 1st February, be approved.",1,1,Lab,"Is the hon. Gentleman aware that, through COSLA, local authorities have agreed with the Government on priorities in the settlement?","Does the hon. Gentleman agree that uncollected taxes are a direct result of the poll tax imposed by his Government? Furthermore, is he advocating that there should be no capping at all?",How does the hon. Gentleman square that with the comment of the hon. Member for Woodspring that Stirling was one of the areas that was gaining because it was a Labour marginal at the general election?,"This is an historic occasion, since it is the last time that there will be a Scottish local government finance debate in this House. It is important to recognise that, and to congratulate Ministers on the work that they have done on local government. Despite what all the opposition parties have said, all local authorities and the Convention of Scottish Local Authorities have welcomed the real-terms increase in the settlement. It is important to put that on the record.",,1,1,Lab,Rosemary McKenna,0.1
6,Orders of the Day – Local Government Finance (Scotland),"That the Local Government Finance (Scotland) Order 1999, dated 28th January, a copy of which was laid before this House on 1st February, be approved.",1,1,Lab,Did I hear the hon. Gentleman refer to CCTV?,"I will very much welcome being in the Scottish Parliament after 1 July, if I am elected, so that we can hear a Conservative Opposition who know something about them speaking up on Scottish issues. Conservative Members have shown breathtaking brass neck and breathtaking ignorance of what is happening in local government. After 19 years of neglect, we have a Government who are addressing the substantial issues in Scottish life. During 2001–02, an extra £840 million will be provided, including additional resources for pre-school education. That will mean that we start to tackle the issues that matter to ordinary people, including education. We will look at service delivery, and the Government are committed to improving public services after that period of total neglect. The hon. Member for Woodspring referred to council tax collection levels, and said that £50 million was added in the last year. I remind the hon. Gentleman that £810 million was added from 1979 to 1997, when the Tories were thrown out by the Scottish people. If one thing contributed to the culture of non-payment, it was the most monumental piece of stupidity called the poll tax. That is the charge that the Conservatives cannot defend.","We are starting to reverse the situation in Scotland with the support of all local authorities, who take this issue seriously. That includes Scottish National party, Labour and independent councils. We think that people should pay their debts to local authorities–something that was never taken seriously by the Conservative Government, and certainly has not been taken seriously by the Conservative Opposition. The Conservatives now want to be spending more after a period of neglect. That is dishonest in relation to Scots who want extra investment. The Labour Government are now pushing forward investment. The hon. Member for Edinburgh, West berated the Government for their lack of investment, but he grudgingly conceded that there had been some improvement. We cannot turn around 19 years of neglect in the space of two years. However, we are putting in substantial investment and we are making a start, and the services that he addressed are the focus for the Government. My hon. Friend the Member for Edinburgh, South made the point that in terms of the foundation years of pre-school education, the Government are delivering. That should be welcomed by families in the constituency of the hon. Member for Edinburgh, West. I hope that he would concede that that is happening throughout the country.","My hon. Friend makes a good point. It has been acknowledged by all organisations in Scotland–especially those representing the 290,000 local government workers, and the electors–that the job has been started on investment and that we are making sufficient progress.","There were many good points in the debate, but it would not be appropriate in the short time available to address all of them. As a matter of courtesy, I can say that the points that have been raised will be the subject of detailed correspondence. I repeat what my hon. Friend the Member for Western Isles said at the outset. We look forward to having more time in the Scottish Parliament to debate these important issues. If we can do that, we will serve local government and every constituent in the country well.",1,1,Lab,Henry McLeish,0.0
